   Selected parameters are:
1 Height, km
2 O, cm-3 
3 N2, cm-3
4 O2, cm-3
5 Temperature_neutral, K
6 Temperature_exospheric, K

      1          2          3          4      5     6
  450.0  4.428E+07  2.242E+06  6.777E+04 1030.2  1031
  451.0  4.358E+07  2.180E+06  6.563E+04 1030.2  1031
  452.0  4.289E+07  2.120E+06  6.356E+04 1030.2  1031
  453.0  4.220E+07  2.061E+06  6.156E+04 1030.2  1031
  454.0  4.153E+07  2.005E+06  5.962E+04 1030.3  1031
  455.0  4.088E+07  1.949E+06  5.774E+04 1030.3  1031
  456.0  4.023E+07  1.895E+06  5.593E+04 1030.3  1031
  457.0  3.959E+07  1.843E+06  5.417E+04 1030.3  1031
  458.0  3.896E+07  1.792E+06  5.246E+04 1030.3  1031
  459.0  3.834E+07  1.743E+06  5.081E+04 1030.3  1031
  460.0  3.774E+07  1.695E+06  4.922E+04 1030.3  1031
  461.0  3.714E+07  1.648E+06  4.767E+04 1030.3  1031
  462.0  3.655E+07  1.603E+06  4.617E+04 1030.3  1031
  463.0  3.597E+07  1.559E+06  4.472E+04 1030.3  1031
  464.0  3.540E+07  1.516E+06  4.332E+04 1030.3  1031
  465.0  3.484E+07  1.474E+06  4.196E+04 1030.3  1031
  466.0  3.429E+07  1.433E+06  4.064E+04 1030.3  1031
  467.0  3.375E+07  1.394E+06  3.937E+04 1030.3  1031
  468.0  3.322E+07  1.356E+06  3.813E+04 1030.3  1031
  469.0  3.269E+07  1.318E+06  3.694E+04 1030.3  1031
  470.0  3.217E+07  1.282E+06  3.578E+04 1030.4  1031
  471.0  3.167E+07  1.247E+06  3.466E+04 1030.4  1031
  472.0  3.117E+07  1.213E+06  3.357E+04 1030.4  1031
  473.0  3.067E+07  1.179E+06  3.252E+04 1030.4  1031
  474.0  3.019E+07  1.147E+06  3.150E+04 1030.4  1031
  475.0  2.971E+07  1.116E+06  3.052E+04 1030.4  1031
  476.0  2.925E+07  1.085E+06  2.956E+04 1030.4  1031
  477.0  2.878E+07  1.055E+06  2.864E+04 1030.4  1031
  478.0  2.833E+07  1.026E+06  2.774E+04 1030.4  1031
  479.0  2.788E+07  9.982E+05  2.687E+04 1030.4  1031
  480.0  2.744E+07  9.708E+05  2.603E+04 1030.4  1031
  481.0  2.701E+07  9.442E+05  2.522E+04 1030.4  1031
  482.0  2.659E+07  9.184E+05  2.443E+04 1030.4  1031
  483.0  2.617E+07  8.932E+05  2.367E+04 1030.4  1031
  484.0  2.576E+07  8.688E+05  2.293E+04 1030.4  1031
  485.0  2.535E+07  8.450E+05  2.222E+04 1030.4  1031
  486.0  2.495E+07  8.219E+05  2.152E+04 1030.4  1031
  487.0  2.456E+07  7.994E+05  2.085E+04 1030.4  1031
  488.0  2.418E+07  7.776E+05  2.020E+04 1030.4  1031
  489.0  2.380E+07  7.563E+05  1.957E+04 1030.4  1031
  490.0  2.342E+07  7.357E+05  1.896E+04 1030.4  1031
  491.0  2.305E+07  7.156E+05  1.837E+04 1030.4  1031
  492.0  2.269E+07  6.961E+05  1.780E+04 1030.4  1031
  493.0  2.234E+07  6.771E+05  1.725E+04 1030.4  1031
  494.0  2.199E+07  6.586E+05  1.671E+04 1030.5  1031
  495.0  2.164E+07  6.406E+05  1.619E+04 1030.5  1031
  496.0  2.130E+07  6.232E+05  1.569E+04 1030.5  1031
  497.0  2.097E+07  6.062E+05  1.520E+04 1030.5  1031
  498.0  2.064E+07  5.896E+05  1.473E+04 1030.5  1031
  499.0  2.032E+07  5.736E+05  1.427E+04 1030.5  1031
